2020-09-08T11:36:42,444 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-commands-core/3.0.0
2020-09-08T11:36:42,444 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-controlbus/3.0.0
2020-09-08T11:36:42,444 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-core/3.0.0
2020-09-08T11:36:42,444 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-core-engine/3.0.0
2020-09-08T11:36:42,445 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-core-osgi/3.0.0
2020-09-08T11:36:42,445 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-core-xml/3.0.0
2020-09-08T11:36:42,445 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-csv/3.0.0
2020-09-08T11:36:42,446 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-cxf/3.0.0
2020-09-08T11:36:42,446 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-cxf-transport/3.0.0
2020-09-08T11:36:42,446 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-dataformat/3.0.0
2020-09-08T11:36:42,447 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-dataset/3.0.0
2020-09-08T11:36:42,447 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-direct/3.0.0
2020-09-08T11:36:42,447 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-directvm/3.0.0
2020-09-08T11:36:42,448 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-file/3.0.0
2020-09-08T11:36:42,448 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-http/3.0.0
2020-09-08T11:36:42,448 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-http-common/3.0.0
2020-09-08T11:36:42,448 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-jackson/3.0.0
2020-09-08T11:36:42,449 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-jaxp/3.0.0
2020-09-08T11:36:42,449 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.apache.camel/camel-jetty/3.0.0
